rho,cv_servico,espera_media_ms,resposta_media_ms,resposta_p95_ms
0.7500,1.2000,91.5000,116.5000,349.0028
0.7500,1.5000,121.8750,146.8750,439.9982
0.7500,2.0000,187.5000,212.5000,636.5931
0.7600,1.0000,79.1667,104.1667,312.0554
0.7600,1.2000,96.5833,121.5833,364.2311
0.7600,1.5000,128.6458,153.6458,460.2818
0.7600,2.0000,197.9167,222.9167,667.7987
0.7700,1.0000,83.6957,108.6957,325.6231
0.7700,1.2000,102.1087,127.1087,380.7836
0.7700,1.5000,136.0054,161.0054,482.3292
0.7700,2.0000,209.2391,234.2391,701.7177
0.7800,1.0000,88.6364,113.6364,340.4241
0.7800,1.2000,108.1364,133.1364,398.8409
0.7800,1.5000,144.0341,169.0341,506.3809
0.7800,2.0000,221.5909,246.5909,738.7203
0.7900,1.0000,94.0476,119.0476,356.6348
0.7900,1.2000,114.7381,139.7381,418.6179
0.7900,1.5000,152.8274,177.8274,532.7232
0.7900,2.0000,235.1190,260.1190,779.2470
0.8000,1.0000,100.0000,125.0000,374.4665
0.8000,1.2000,122.0000,147.0000,440.3726
0.8000,1.5000,162.5000,187.5000,561.6998
0.8000,2.0000,250.0000,275.0000,823.8264
0.8100,1.0000,106.5789,131.5789,394.1753
0.8100,1.2000,130.0263,155.0263,464.4173
0.8100,1.5000,173.1908,198.1908,593.7265
0.8100,2.0000,266.4474,291.4474,873.0983
0.8200,1.0000,113.8889,138.8889,416.0739
0.8200,1.2000,138.9444,163.9444,491.1337
0.8200,1.5000,185.0694,210.0694,629.3118
0.8200,2.0000,284.7222,309.7222,927.8449
0.8300,1.0000,122.0588,147.0588,440.5489
0.8300,1.2000,148.9118,173.9118,520.9931
0.8300,1.5000,198.3456,223.3456,669.0836
0.8300,2.0000,305.1471,330.1471,989.0322
0.8400,1.0000,131.2500,156.2500,468.0832
0.8400,1.2000,160.1250,185.1250,554.5849
0.8400,1.5000,213.2812,238.2812,713.8268
0.8400,2.0000,328.1250,353.1250,1057.8680
0.8500,1.0000,141.6667,166.6667,499.2887
0.8500,1.2000,172.8333,197.8333,592.6557
0.8500,1.5000,230.2083,255.2083,764.5358
0.8500,2.0000,354.1667,379.1667,1135.8818
0.8600,1.0000,153.5714,178.5714,534.9522
0.8600,1.2000,187.3571,212.3571,636.1651
0.8600,1.5000,249.5536,274.5536,822.4890
0.8600,2.0000,383.9286,408.9286,1225.0405
0.8700,1.0000,167.3077,192.3077,576.1024
0.8700,1.2000,204.1154,229.1154,686.3684
0.8700,1.5000,271.8750,296.8750,889.3580
0.8700,2.0000,418.2692,443.2692,1327.9159
0.8800,1.0000,183.3333,208.3333,624.1109
0.8800,1.2000,223.6667,248.6667,744.9388
0.8800,1.5000,297.9167,322.9167,967.3719
0.8800,2.0000,458.3333,483.3333,1447.9373
0.8900,1.0000,202.2727,227.2727,680.8482
0.8900,1.2000,246.7727,271.7727,814.1583
0.8900,1.5000,328.6932,353.6932,1059.5701
0.8900,2.0000,505.6818,530.6818,1589.7806
0.9000,1.0000,225.0000,250.0000,748.9331
0.9000,1.2000,274.5000,299.5000,897.2218
0.9000,1.5000,365.6250,390.6250,1170.2079
0.9000,2.0000,562.5000,587.5000,1759.9927
0.9100,1.0000,252.7778,277.7778,832.1479
0.9100,1.2000,308.3889,333.3889,998.7439
0.9100,1.5000,410.7639,435.7639,1305.4319
0.9100,2.0000,631.9444,656.9444,1968.0297
0.9200,1.0000,287.5000,312.5000,936.1663
0.9200,1.2000,350.7500,375.7500,1125.6464
0.9200,1.5000,467.1875,492.1875,1474.4620
0.9200,2.0000,718.7500,743.7500,2228.0759
0.9300,1.0000,332.1429,357.1429,1069.9044
0.9300,1.2000,405.2143,430.2143,1288.8068
0.9300,1.5000,539.7321,564.7321,1691.7863
0.9300,2.0000,830.3571,855.3571,2562.4210
0.9400,1.0000,391.6667,416.6667,1248.2218
0.9400,1.2000,477.8333,502.8333,1506.3540
0.9400,1.5000,636.4583,661.4583,1981.5521
0.9400,2.0000,979.1667,1004.1667,3008.2145
0.9500,1.0000,475.0000,500.0000,1497.8661
0.9500,1.2000,579.5000,604.5000,1810.9202
0.9500,1.5000,771.8750,796.8750,2387.2242
0.9500,2.0000,1187.5000,1212.5000,3632.3254
